"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Crinoidea&interval=ordovician,devonian"
"Access Time","Wed 2018-03-07 13:59:17 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Crinoidea"
"","interval","ordovician,devonian"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.412"
"Records Found","5491"
"Records Returned","5491"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"3907","occ","","","1196","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Late Ordovician","","458.4","443.4","26101"
"3952","occ","","","349","Heterocrinus sp.","genus","31934","","Heterocrinus","genus","31934","Edenian","","460.9","449.5","60930"
"3953","occ","","","349","Ectenocrinus sp.","genus","31918","","Ectenocrinus","genus","31918","Edenian","","460.9","449.5","60930"
"3979","occ","","","350","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Maysville","","452","445.6","60930"
"4020","occ","","","351","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Maysville","Richmondian","452","443.7","60930"
"4051","occ","","","354","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Richmondian","","449.5","443.7","60930"
"4060","occ","","","355","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Richmond","","449.5","445.6","60930"
"4104","occ","","","357","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Ashgill","","449.5","443.7","17051"
"4203","occ","","","363","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Hirnantian","","445.2","443.4","19960"
"4231","occ","","","364","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Hirnantian","","445.2","443.4","19960"
"4324","occ","","","365","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Rawtheyan","Hirnantian","455.8","443.4","19960"
"4358","occ","","","366","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Rawtheyan","","455.8","445.6","19960"
"4402","occ","","","367","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Richmond","","449.5","445.6","61146"
"4403","occ","","","367","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Richmond","","449.5","445.6","61146"
"4448","occ","","","368","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Richmondian","","449.5","443.7","61146"
"4468","occ","","","369","Ectenocrinus sp.","genus","31918","","Ectenocrinus","genus","31918","Edenian","","460.9","449.5","36817"
"4504","occ","12724","","372","Lichenocrinus tuberculata","species","103248","species not entered","Lichenocrinus","genus","103248","Richmondian","","449.5","443.7","11467"
"4560","occ","","","375","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Maysvillian","","452","449.5","61146"
"4587","occ","","","377","Xenocrinus sp.","genus","31872","","Xenocrinus","genus","31872","Richmondian","","449.5","443.7","61146"
"4588","occ","","","377","Dendrocrinus sp.","genus","32134","","Dendrocrinus","genus","32134","Richmondian","","449.5","443.7","61146"
"4591","occ","","","378","Crinoidea ? indet.","class","31590","","Crinoidea","class","31590","Harju","","452","443.7","17052"
"4637","occ","","","379","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Harju","","452","443.7","17052"
"4740","occ","","","382","Dendrocrinidae indet.","family","86727","","Dendrocrinidae","family","86727","Richmondian","","449.5","443.7","61180"
"4741","occ","","","382","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Richmondian","","449.5","443.7","61180"
"4763","occ","","","383","Dendrocrinus sp.","genus","32134","","Dendrocrinus","genus","32134","Edenian","","460.9","449.5","316"
"4764","occ","","","383","Ectenocrinus sp.","genus","31918","","Ectenocrinus","genus","31918","Edenian","","460.9","449.5","316"
"4765","occ","","","383","Glyptocrinus sp.","genus","31771","","Glyptocrinus","genus","31771","Edenian","","460.9","449.5","316"
"4766","occ","","","383","Heterocrinus sp.","genus","31934","","Heterocrinus","genus","31934","Edenian","","460.9","449.5","316"
"4767","occ","","","383","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Edenian","","460.9","449.5","316"
"4768","occ","","","383","Lichenocrinus sp.","genus","103248","","Lichenocrinus","genus","103248","Edenian","","460.9","449.5","316"
"4769","occ","","","383","Merocrinus sp.","genus","32248","","Merocrinus","genus","32248","Edenian","","460.9","449.5","316"
"4845","occ","","","384","Ectenocrinus sp.","genus","31918","","Ectenocrinus","genus","31918","Edenian","","460.9","449.5","316"
"4846","occ","","","384","Glyptocrinus ? sp.","genus","31771","","Glyptocrinus","genus","31771","Edenian","","460.9","449.5","316"
"4847","occ","","","384","Heterocrinus sp.","genus","31934","","Heterocrinus","genus","31934","Edenian","","460.9","449.5","316"
"4848","occ","","","384","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Edenian","","460.9","449.5","316"
"4849","occ","","","384","Lichenocrinus sp.","genus","103248","","Lichenocrinus","genus","103248","Edenian","","460.9","449.5","316"
"4927","occ","","","385","Ectenocrinus sp.","genus","31918","","Ectenocrinus","genus","31918","Edenian","","460.9","449.5","316"
"4928","occ","","","385","Heterocrinus sp.","genus","31934","","Heterocrinus","genus","31934","Edenian","","460.9","449.5","316"
"4929","occ","","","385","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Edenian","","460.9","449.5","316"
"4930","occ","","","385","Lichenocrinus sp.","genus","103248","","Lichenocrinus","genus","103248","Edenian","","460.9","449.5","316"
"5006","occ","","","386","Ectenocrinus sp.","genus","31918","","Ectenocrinus","genus","31918","Edenian","","460.9","449.5","316"
"5007","occ","","","386","Heterocrinus sp.","genus","31934","","Heterocrinus","genus","31934","Edenian","","460.9","449.5","316"
"5008","occ","","","386","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Edenian","","460.9","449.5","316"
"5009","occ","","","386","Lichenocrinus sp.","genus","103248","","Lichenocrinus","genus","103248","Edenian","","460.9","449.5","316"
"5073","occ","","","387","Ectenocrinus sp.","genus","31918","","Ectenocrinus","genus","31918","Maysvillian","","452","449.5","316"
"5074","occ","","","387","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Maysvillian","","452","449.5","316"
"5075","occ","","","387","Lichenocrinus sp.","genus","103248","","Lichenocrinus","genus","103248","Maysvillian","","452","449.5","316"
"5141","occ","","","388","Anomalocrinus sp.","genus","31882","","Anomalocrinus","genus","31882","Maysvillian","","452","449.5","316"
"5142","occ","","","388","Dendrocrinus sp.","genus","32134","","Dendrocrinus","genus","32134","Maysvillian","","452","449.5","316"
"5143","occ","","","388","Ectenocrinus sp.","genus","31918","","Ectenocrinus","genus","31918","Maysvillian","","452","449.5","316"
"5144","occ","","","388","Glyptocrinus sp.","genus","31771","","Glyptocrinus","genus","31771","Maysvillian","","452","449.5","316"
"5145","occ","","","388","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Maysvillian","","452","449.5","316"
"5146","occ","","","388","Ohiocrinus sp.","genus","31957","","Ohiocrinus","genus","31957","Maysvillian","","452","449.5","316"
"5147","occ","","","388","Ptychocrinus sp.","genus","31655","","Ptychocrinus","genus","31655","Maysvillian","","452","449.5","316"
"5250","occ","","","389","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Maysvillian","Ashgill","452","443.7","316"
"5328","occ","","","390","Anomalocrinus sp.","genus","31882","","Anomalocrinus","genus","31882","Maysvillian","Ashgill","452","443.7","316"
"5329","occ","","","390","Glyptocrinus sp.","genus","31771","","Glyptocrinus","genus","31771","Maysvillian","Ashgill","452","443.7","316"
"5330","occ","","","390","Heterocrinus sp.","genus","31934","","Heterocrinus","genus","31934","Maysvillian","Ashgill","452","443.7","316"
"5331","occ","","","390","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Maysvillian","Ashgill","452","443.7","316"
"5332","occ","","","390","Lichenocrinus sp.","genus","103248","","Lichenocrinus","genus","103248","Maysvillian","Ashgill","452","443.7","316"
"5333","occ","","","390","Ohiocrinus sp.","genus","31957","","Ohiocrinus","genus","31957","Maysvillian","Ashgill","452","443.7","316"
"5334","occ","","","390","Pycnocrinus sp.","genus","31840","","Pycnocrinus","genus","31840","Maysvillian","Ashgill","452","443.7","316"
"5422","occ","","","391","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Maysvillian","","452","449.5","316"
"5493","occ","","","392","Dendrocrinus sp.","genus","32134","","Dendrocrinus","genus","32134","Richmond","Ashgill","449.5","443.7","316"
"5494","occ","","","392","Glyptocrinus sp.","genus","31771","","Glyptocrinus","genus","31771","Richmond","Ashgill","449.5","443.7","316"
"5495","occ","","","392","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Richmond","Ashgill","449.5","443.7","316"
"5496","occ","","","392","Lichenocrinus sp.","genus","103248","","Lichenocrinus","genus","103248","Richmond","Ashgill","449.5","443.7","316"
"5497","occ","","","392","Reteocrinus sp.","genus","31657","","Reteocrinus","genus","31657","Richmond","Ashgill","449.5","443.7","316"
"5621","occ","","","393","Compsocrinus sp.","genus","31736","","Compsocrinus","genus","31736","Richmondian","Ashgill","449.5","443.7","316"
"5623","occ","","","393","Dendrocrinus sp.","genus","32134","","Dendrocrinus","genus","32134","Richmondian","Ashgill","449.5","443.7","316"
"5624","occ","","","393","Glyptocrinus ? sp.","genus","31771","","Glyptocrinus","genus","31771","Richmondian","Ashgill","449.5","443.7","316"
"5625","occ","","","393","Rhaphanocrinus sp.","genus","31659","","Rhaphanocrinus","genus","31659","Richmondian","Ashgill","449.5","443.7","316"
"5626","occ","","","393","Lichenocrinus sp.","genus","103248","","Lichenocrinus","genus","103248","Richmondian","Ashgill","449.5","443.7","316"
"5627","occ","","","393","Reteocrinus sp.","genus","31657","","Reteocrinus","genus","31657","Richmondian","Ashgill","449.5","443.7","316"
"5629","occ","","","393","Xenocrinus sp.","genus","31872","","Xenocrinus","genus","31872","Richmondian","Ashgill","449.5","443.7","316"
"5705","occ","","","394","Cupulocrinus sp.","genus","32124","","Cupulocrinus","genus","32124","Richmondian","Ashgill","449.5","443.7","316"
"5706","occ","","","394","Dendrocrinus sp.","genus","32134","","Dendrocrinus","genus","32134","Richmondian","Ashgill","449.5","443.7","316"
"5707","occ","","","394","Lichenocrinus sp.","genus","103248","","Lichenocrinus","genus","103248","Richmondian","Ashgill","449.5","443.7","316"
"5828","occ","","","395","Lichenocrinus sp.","genus","103248","","Lichenocrinus","genus","103248","Richmondian","","449.5","443.7","316"
"5972","occ","","","456","Eucalyptocrinitidae indet.","family","214874","","Eucalyptocrinitidae","family","214874","Llandovery","","443.4","433.4","61477"
"5973","occ","","","456","Dimerocrinites sp.","genus","31616","","Dimerocrinites","genus","31616","Llandovery","","443.4","433.4","61477"
"5974","occ","","","456","Macrostylocrinus sp.","genus","31790","","Macrostylocrinus","genus","31790","Llandovery","","443.4","433.4","61477"
"5975","occ","","","456","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Llandovery","","443.4","433.4","61477"
"5985","occ","","","457","Petalocrinus sp.","genus","32327","","Petalocrinus","genus","32327","Llandovery","","443.4","433.4","61477"
"6011","occ","","","458","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Llandovery","","443.4","433.4","27610"
"6087","occ","","","461","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Llandovery","","443.4","433.4","13433"
"6118","occ","","","462","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Llandovery","","443.4","433.4","13433"
"6187","occ","","","463","Lecanocrinus sp.","genus","32499","","Lecanocrinus","genus","32499","Llandovery","","443.4","433.4","27610"
"6207","occ","","","464","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Llandovery","","443.4","433.4","61202"
"6250","occ","","","465","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Llandovery","","443.4","433.4","60994"
"6428","occ","","","472","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Wenlock","","433.4","427.4","61273"
"6479","occ","","","473","Periechocrinus sp.","genus","31819","","Periechocrinus","genus","31819","Wenlock","","433.4","427.4","61273"
"6480","occ","","","473","Eucalyptocrinites sp.","genus","31761","","Eucalyptocrinites","genus","31761","Wenlock","","433.4","427.4","61273"
"6562","occ","","","475","Eucalyptocrinites sp.","genus","31761","","Eucalyptocrinites","genus","31761","Niagaran","","443.4","422.9","61149"
"6563","occ","","","475","Marsupiocrinus sp.","genus","31795","","Marsupiocrinus","genus","31795","Niagaran","","443.4","422.9","61149"
"6805","occ","","","482","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Ludlow","","427.4","423","25317"
"6849","occ","","","487","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Ludlow","","427.4","423","17055"
"7023","occ","","","495","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Ludlow","","427.4","423","60938"
"7100","occ","","","498","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Pridoli","","423","419.2","60874"
"7124","occ","","","499","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Wenlock","","433.4","427.4","17054"
"7156","occ","","","500","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Wenlock","","433.4","427.4","17054"
